date        time     P_O_Taraldsvike T_Taraldsvikelv T_Taraldsvikelv Q_Taraldsvikelv 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
16.08.2003  00:00:00           0.000          14.100          14.100           0.090 
17.08.2003  00:00:00           0.000          11.400          11.400           0.080 
18.08.2003  00:00:00           0.000           8.950           8.950           0.080 
19.08.2003  00:00:00           0.000           9.600           9.600           0.070 
20.08.2003  00:00:00           0.100          11.000          11.000           0.060 
21.08.2003  00:00:00           0.350          12.500          12.500           0.060 
22.08.2003  00:00:00           1.800          13.200          13.200           0.060 
23.08.2003  00:00:00           0.000          12.650          12.650           0.060 
24.08.2003  00:00:00           7.000          11.750          11.750           0.300 
25.08.2003  00:00:00           4.800           9.850           9.850           0.160 
26.08.2003  00:00:00           6.000           8.700           8.700           0.210 
27.08.2003  00:00:00           1.550           8.000           8.000           0.140 
28.08.2003  00:00:00           1.500           7.350           7.350           0.120 
29.08.2003  00:00:00           6.050           6.200           6.200           0.130 
30.08.2003  00:00:00           4.300           5.800           5.800           0.120 
31.08.2003  00:00:00           0.950           4.200           4.200           0.100 
01.09.2003  00:00:00           0.450           1.050           1.050           0.090 
02.09.2003  00:00:00           0.000           3.850           3.850           0.100 
03.09.2003  00:00:00           6.650           7.150           7.150           0.170 
04.09.2003  00:00:00          15.200           7.100           7.100           0.230 
05.09.2003  00:00:00           3.900           6.200           6.200           0.240 
06.09.2003  00:00:00           7.250           8.450           8.450           0.200 
07.09.2003  00:00:00           1.600          10.250          10.250           0.150 
08.09.2003  00:00:00           0.000          11.550          11.550           0.130 
09.09.2003  00:00:00           1.350           9.550           9.550           0.110 
10.09.2003  00:00:00           0.650           8.600           8.600           0.090 
11.09.2003  00:00:00           0.700           8.850           8.850           0.080 
12.09.2003  00:00:00           0.000           8.500           8.500           0.070 
13.09.2003  00:00:00           0.000           8.450           8.450           0.070 
14.09.2003  00:00:00          10.250          10.500          10.500           0.260 
15.09.2003  00:00:00          42.650           8.650           8.650           0.430 
16.09.2003  00:00:00          16.300           6.000           6.000           0.330 
17.09.2003  00:00:00           9.550           4.600           4.600           0.410 
18.09.2003  00:00:00           4.200           4.450           4.450           0.360 
19.09.2003  00:00:00          19.650           1.900           1.900           0.290 
20.09.2003  00:00:00           8.300           1.050           1.050           0.350 
21.09.2003  00:00:00          13.550           3.150           3.150           0.450 
22.09.2003  00:00:00           4.200           5.850           5.850           0.250 
23.09.2003  00:00:00           7.600           4.750           4.750           0.200 
24.09.2003  00:00:00           9.150           2.950           2.950           0.170 
25.09.2003  00:00:00          26.050          -0.400          -0.400           0.160 
26.09.2003  00:00:00           2.650          -1.800          -1.800           0.130 
27.09.2003  00:00:00           1.600           0.050           0.050           0.110 
28.09.2003  00:00:00           2.750           0.300           0.300           0.100 
29.09.2003  00:00:00           0.000          -2.750          -2.750           0.080 
30.09.2003  00:00:00           0.000          -5.050          -5.050           0.070 
01.10.2003  00:00:00           0.000          -5.200          -5.200           0.070 
02.10.2003  00:00:00           0.000          -5.100          -5.100           0.060 
03.10.2003  00:00:00           0.000          -1.750          -1.750           0.070 
04.10.2003  00:00:00           1.750           2.700           2.700           0.080 
05.10.2003  00:00:00           0.000           3.650           3.650           0.070 
06.10.2003  00:00:00           0.000           1.650           1.650           0.070 
07.10.2003  00:00:00           2.250          -0.350          -0.350           0.060 
08.10.2003  00:00:00           0.000          -3.500          -3.500           0.060 
09.10.2003  00:00:00           3.700          -1.150          -1.150           0.100 
10.10.2003  00:00:00           7.100           1.350           1.350           0.080 
11.10.2003  00:00:00           0.000          -2.650          -2.650           0.060 
12.10.2003  00:00:00           5.000          -1.400          -1.400           0.070 
13.10.2003  00:00:00           2.900           1.850           1.850           0.060 
14.10.2003  00:00:00           3.050           1.600           1.600           0.050 
15.10.2003  00:00:00           0.600          -0.500          -0.500           0.070 
16.10.2003  00:00:00           2.400           2.200           2.200           0.330 
17.10.2003  00:00:00          10.450           5.850           5.850           0.370 
18.10.2003  00:00:00          10.550          -2.150          -2.150           0.180 
19.10.2003  00:00:00           7.650          -3.100          -3.100           0.130 
20.10.2003  00:00:00           0.000          -6.750          -6.750           0.200 
21.10.2003  00:00:00           0.000         -12.600         -12.600           0.160 
22.10.2003  00:00:00           0.100         -11.600         -11.600           0.080 
23.10.2003  00:00:00           7.550          -4.850          -4.850           0.070 
24.10.2003  00:00:00           3.150          -3.100          -3.100           0.070 
25.10.2003  00:00:00           9.500          -4.000          -4.000           0.060 
26.10.2003  00:00:00           3.500          -6.850          -6.850           0.060 
27.10.2003  00:00:00           7.850          -7.400          -7.400           0.220 
28.10.2003  00:00:00          24.200          -0.400          -0.400           0.190 
29.10.2003  00:00:00          14.450           0.550           0.550           0.110 
30.10.2003  00:00:00           5.550          -2.150          -2.150           0.090 
31.10.2003  00:00:00           0.000          -3.100          -3.100           0.070 
01.11.2003  00:00:00           0.000          -1.650          -1.650           0.070 
02.11.2003  00:00:00           0.800          -1.600          -1.600           0.060 
03.11.2003  00:00:00           0.950          -0.450          -0.450           0.060 
04.11.2003  00:00:00           1.300           0.950           0.950           0.080 
05.11.2003  00:00:00           4.400           1.100           1.100           0.110 
06.11.2003  00:00:00           4.550           2.500           2.500           0.470 
07.11.2003  00:00:00          18.150           5.000           5.000           0.660 
08.11.2003  00:00:00           0.100           2.500           2.500           0.290 
09.11.2003  00:00:00           0.000          -1.600          -1.600           0.190 
10.11.2003  00:00:00           0.000          -5.450          -5.450           0.140 
11.11.2003  00:00:00           0.000          -1.750          -1.750           0.130 
12.11.2003  00:00:00           5.950           1.050           1.050           0.240 
13.11.2003  00:00:00           5.700           0.400           0.400           0.180 
14.11.2003  00:00:00           0.100          -3.600          -3.600           0.120 
15.11.2003  00:00:00           2.000          -5.600          -5.600           0.120 
16.11.2003  00:00:00           0.000          -2.600          -2.600           0.100 
17.11.2003  00:00:00           1.950          -4.050          -4.050           0.080 
18.11.2003  00:00:00           0.000          -5.900          -5.900           0.070 
19.11.2003  00:00:00           0.000          -9.750          -9.750           0.070 
20.11.2003  00:00:00           0.100         -12.600         -12.600           0.060 
21.11.2003  00:00:00           0.000         -13.800         -13.800           0.050 
22.11.2003  00:00:00           0.000         -15.800         -15.800           0.060 
23.11.2003  00:00:00           0.000         -11.800         -11.800           0.130 
24.11.2003  00:00:00           0.000         -13.150         -13.150           0.080 
25.11.2003  00:00:00           0.000         -13.300         -13.300           0.070 
26.11.2003  00:00:00           0.100          -8.150          -8.150           0.120 
27.11.2003  00:00:00           0.000          -3.850          -3.850           0.040 
28.11.2003  00:00:00           0.000          -3.100          -3.100           0.030 
29.11.2003  00:00:00           0.000          -1.550          -1.550           0.030 
30.11.2003  00:00:00           0.000          -1.550          -1.550           0.030 
01.12.2003  00:00:00           0.000          -1.050          -1.050           0.020 
02.12.2003  00:00:00           8.100           1.450           1.450           0.030 
03.12.2003  00:00:00           7.800           1.300           1.300           0.030 
04.12.2003  00:00:00           4.300           0.650           0.650           0.030 
05.12.2003  00:00:00          16.300          -0.650          -0.650           0.030 
06.12.2003  00:00:00           6.850          -6.800          -6.800           0.030 
07.12.2003  00:00:00           7.500          -2.900          -2.900           0.030 
08.12.2003  00:00:00          12.800          -1.500          -1.500           0.030 
09.12.2003  00:00:00           4.100          -6.750          -6.750           0.020 
10.12.2003  00:00:00           2.000          -5.050          -5.050           0.020 
11.12.2003  00:00:00           5.200          -1.200          -1.200           0.030 
12.12.2003  00:00:00          20.550          -2.550          -2.550           0.020 
13.12.2003  00:00:00          16.100          -6.850          -6.850           0.020 
14.12.2003  00:00:00           4.100          -8.350          -8.350           0.020 
15.12.2003  00:00:00           0.450          -6.600          -6.600           0.020 
16.12.2003  00:00:00           2.050          -9.750          -9.750           0.020 
17.12.2003  00:00:00           0.000         -11.650         -11.650           0.020 
18.12.2003  00:00:00           0.000         -14.900         -14.900           0.020 
19.12.2003  00:00:00          15.100          -9.350          -9.350           0.020 
20.12.2003  00:00:00           4.600          -9.800          -9.800           0.020 
21.12.2003  00:00:00           1.650         -15.650         -15.650           0.020 
22.12.2003  00:00:00           3.450         -15.600         -15.600           0.020 
23.12.2003  00:00:00           6.500         -16.000         -16.000           0.020 
24.12.2003  00:00:00           2.300         -13.350         -13.350           0.020 
25.12.2003  00:00:00           6.150          -7.150          -7.150           0.010 
26.12.2003  00:00:00           5.800          -7.800          -7.800           0.010 
27.12.2003  00:00:00           6.850         -12.350         -12.350           0.010 
28.12.2003  00:00:00           1.250         -10.450         -10.450           0.010 
29.12.2003  00:00:00           2.400          -6.550          -6.550           0.010 
30.12.2003  00:00:00           3.400          -5.200          -5.200           0.010 
31.12.2003  00:00:00           2.750         -10.450         -10.450           0.010 
01.01.2004  00:00:00           0.000         -13.150         -13.150           0.010 
02.01.2004  00:00:00           0.000         -12.400         -12.400           0.010 
03.01.2004  00:00:00           0.000         -10.800         -10.800           0.010 
04.01.2004  00:00:00           0.000         -11.600         -11.600           0.010 
05.01.2004  00:00:00           0.000         -15.200         -15.200           0.010 
06.01.2004  00:00:00           0.000         -13.700         -13.700           0.010 
07.01.2004  00:00:00           0.000         -10.150         -10.150           0.010 
08.01.2004  00:00:00           2.300          -6.850          -6.850           0.010 
09.01.2004  00:00:00           0.000          -5.100          -5.100           0.010 
10.01.2004  00:00:00           0.000          -8.550          -8.550           0.010 
11.01.2004  00:00:00           0.000          -8.900          -8.900           0.010 
12.01.2004  00:00:00           0.000          -7.950          -7.950           0.010 
13.01.2004  00:00:00           0.000          -6.300          -6.300           0.010 
14.01.2004  00:00:00           0.000         -10.500         -10.500           0.010 
15.01.2004  00:00:00           3.700          -9.850          -9.850           0.010 
16.01.2004  00:00:00           3.400          -9.450          -9.450           0.010 
17.01.2004  00:00:00           0.000         -14.400         -14.400           0.010 
18.01.2004  00:00:00           5.000         -11.000         -11.000           0.010 
19.01.2004  00:00:00           0.000         -10.100         -10.100           0.010 
20.01.2004  00:00:00           0.000         -14.450         -14.450           0.010 
21.01.2004  00:00:00           0.000         -19.250         -19.250           0.010 
22.01.2004  00:00:00           0.000         -14.950         -14.950           0.010 
23.01.2004  00:00:00           8.400          -5.550          -5.550           0.010 
24.01.2004  00:00:00           8.550           1.550           1.550           0.010 
25.01.2004  00:00:00           0.000          -0.750          -0.750           0.010 
26.01.2004  00:00:00           0.000          -2.350          -2.350           0.010 
27.01.2004  00:00:00          13.150          -9.300          -9.300           0.010 
28.01.2004  00:00:00           0.000         -13.650         -13.650           0.010 
29.01.2004  00:00:00           0.000         -11.000         -11.000           0.010 
30.01.2004  00:00:00           0.000         -11.800         -11.800           0.010 
31.01.2004  00:00:00           0.000         -12.700         -12.700           0.010 
01.02.2004  00:00:00           0.000         -13.250         -13.250           0.010 
02.02.2004  00:00:00           2.350         -11.650         -11.650           0.010 
03.02.2004  00:00:00           0.250          -7.300          -7.300           0.010 
04.02.2004  00:00:00           7.450         -10.250         -10.250           0.010 
05.02.2004  00:00:00           0.000          -7.150          -7.150           0.010 
06.02.2004  00:00:00           1.850          -8.600          -8.600           0.010 
07.02.2004  00:00:00           3.800         -10.950         -10.950           0.010 
08.02.2004  00:00:00           3.500         -10.300         -10.300           0.010 
09.02.2004  00:00:00           5.050         -10.250         -10.250           0.010 
10.02.2004  00:00:00           0.000         -16.750         -16.750           0.010 
11.02.2004  00:00:00           0.000         -17.700         -17.700           0.010 
12.02.2004  00:00:00           7.350         -12.150         -12.150           0.010 
13.02.2004  00:00:00           3.500          -0.250          -0.250           0.010 
14.02.2004  00:00:00          12.150           0.850           0.850           0.010 
15.02.2004  00:00:00           4.350          -2.500          -2.500           0.010 
16.02.2004  00:00:00           1.750          -1.750          -1.750           0.010 
17.02.2004  00:00:00           6.450          -1.500          -1.500           0.010 
18.02.2004  00:00:00           6.150          -2.500          -2.500           0.010 
19.02.2004  00:00:00           3.800          -4.150          -4.150           0.010 
20.02.2004  00:00:00          11.800           1.650           1.650           0.150 
21.02.2004  00:00:00          12.800          -0.250          -0.250           0.160 
22.02.2004  00:00:00           5.250          -4.750          -4.750           0.050 
23.02.2004  00:00:00           2.650          -8.650          -8.650           0.030 
24.02.2004  00:00:00           5.150          -7.950          -7.950           0.030 
25.02.2004  00:00:00           0.000          -7.550          -7.550           0.020 
26.02.2004  00:00:00           0.000         -10.000         -10.000           0.040 
27.02.2004  00:00:00           1.300         -11.600         -11.600           0.040 
28.02.2004  00:00:00           0.000         -16.050         -16.050           0.060 
29.02.2004  00:00:00           0.000         -14.350         -14.350           0.060 
01.03.2004  00:00:00           8.300          -8.600          -8.600           0.020 
02.03.2004  00:00:00           1.650         -10.200         -10.200           0.010 
03.03.2004  00:00:00           0.000         -13.950         -13.950           0.010 
04.03.2004  00:00:00           0.000         -14.000         -14.000           0.010 
05.03.2004  00:00:00           0.000         -10.350         -10.350           0.010 
06.03.2004  00:00:00          12.800          -4.850          -4.850           0.010 
07.03.2004  00:00:00          11.900          -2.250          -2.250           0.010 
08.03.2004  00:00:00           0.000          -4.500          -4.500           0.010 
09.03.2004  00:00:00           1.750          -0.900          -0.900           0.010 
10.03.2004  00:00:00           6.900           2.300           2.300           0.020 
11.03.2004  00:00:00           0.000           2.150           2.150           0.020 
12.03.2004  00:00:00           0.000          -1.150          -1.150           0.010 
13.03.2004  00:00:00           0.000          -4.700          -4.700           0.010 
14.03.2004  00:00:00           0.000          -3.150          -3.150           0.010 
15.03.2004  00:00:00           0.000          -2.950          -2.950           0.010 
16.03.2004  00:00:00           0.000          -4.150          -4.150           0.010 
17.03.2004  00:00:00           0.000          -6.450          -6.450           0.010 
18.03.2004  00:00:00           4.900          -2.550          -2.550           0.010 
19.03.2004  00:00:00           0.000           1.200           1.200           0.010 
20.03.2004  00:00:00           0.000           0.950           0.950           0.010 
21.03.2004  00:00:00           0.000           1.400           1.400           0.010 
22.03.2004  00:00:00           0.000          -1.600          -1.600           0.010 
23.03.2004  00:00:00           0.000          -4.900          -4.900           0.010 
24.03.2004  00:00:00           0.000          -6.950          -6.950           0.010 
25.03.2004  00:00:00           0.000          -7.000          -7.000           0.010 
26.03.2004  00:00:00           0.000          -7.950          -7.950           0.010 
27.03.2004  00:00:00           6.450          -6.100          -6.100           0.010 
28.03.2004  00:00:00           4.900          -3.050          -3.050           0.010 
29.03.2004  00:00:00           7.350          -3.200          -3.200           0.010 
30.03.2004  00:00:00           1.200          -2.250          -2.250           0.010 
31.03.2004  00:00:00           5.000          -1.750          -1.750           0.010 
01.04.2004  00:00:00           0.000          -3.800          -3.800           0.010 
02.04.2004  00:00:00           0.000          -5.650          -5.650           0.010 
03.04.2004  00:00:00           0.000          -1.600          -1.600           0.010 
04.04.2004  00:00:00           0.000          -1.050          -1.050           0.010 
05.04.2004  00:00:00           0.000           0.050           0.050           0.010 
06.04.2004  00:00:00           0.000           1.800           1.800           0.010 
07.04.2004  00:00:00           0.000          -0.050          -0.050           0.010 
08.04.2004  00:00:00           0.000          -0.200          -0.200           0.010 
09.04.2004  00:00:00          15.100          -0.650          -0.650           0.010 
10.04.2004  00:00:00           1.000          -4.150          -4.150           0.010 
11.04.2004  00:00:00           6.600          -4.700          -4.700           0.010 
12.04.2004  00:00:00           1.800          -2.900          -2.900           0.010 
13.04.2004  00:00:00           0.350          -2.100          -2.100           0.010 
14.04.2004  00:00:00          22.850          -0.550          -0.550           0.010 
15.04.2004  00:00:00           4.100           0.500           0.500           0.010 
16.04.2004  00:00:00           4.500           2.200           2.200           0.010 
17.04.2004  00:00:00           1.050           3.750           3.750           0.030 
18.04.2004  00:00:00           4.450           2.200           2.200           0.030 
19.04.2004  00:00:00           0.000           3.500           3.500           0.060 
20.04.2004  00:00:00           0.000           4.650           4.650           0.110 
21.04.2004  00:00:00           0.000           3.000           3.000           0.090 
22.04.2004  00:00:00           0.000           1.950           1.950           0.060 
23.04.2004  00:00:00           0.000          -0.200          -0.200           0.060 
24.04.2004  00:00:00           0.000           0.850           0.850           0.050 
25.04.2004  00:00:00           0.000          -0.050          -0.050           0.040 
26.04.2004  00:00:00           0.000           0.400           0.400           0.040 
27.04.2004  00:00:00           0.000           1.350           1.350           0.050 
28.04.2004  00:00:00           0.000           3.200           3.200           0.060 
29.04.2004  00:00:00           0.000           4.750           4.750           0.070 
30.04.2004  00:00:00          15.050           6.050           6.050           0.100 
01.05.2004  00:00:00           3.550           2.200           2.200           0.070 
02.05.2004  00:00:00           0.000           1.550           1.550           0.060 
03.05.2004  00:00:00           1.350           4.350           4.350           0.120 
04.05.2004  00:00:00           0.000           6.700           6.700           0.370 
05.05.2004  00:00:00           0.000           9.300           9.300           0.550 
06.05.2004  00:00:00           0.000          10.000          10.000           0.810 
07.05.2004  00:00:00           0.000          11.800          11.800           1.000 
08.05.2004  00:00:00           0.000          12.850          12.850           0.910 
09.05.2004  00:00:00           0.000          11.050          11.050           0.580 
10.05.2004  00:00:00           0.600           4.600           4.600           0.310 
11.05.2004  00:00:00           1.750           1.850           1.850           0.170 
12.05.2004  00:00:00           0.250          -0.150          -0.150           0.120 
13.05.2004  00:00:00           0.100           0.500           0.500           0.090 
14.05.2004  00:00:00           0.000          -0.900          -0.900           0.080 
15.05.2004  00:00:00           0.000           0.100           0.100           0.070 
16.05.2004  00:00:00           5.500          -0.550          -0.550           0.060 
17.05.2004  00:00:00           8.200           1.050           1.050           0.060 
18.05.2004  00:00:00           5.600           2.500           2.500           0.090 
19.05.2004  00:00:00           2.700           4.000           4.000           0.140 
20.05.2004  00:00:00           5.550           4.050           4.050           0.170 
21.05.2004  00:00:00           9.600           2.850           2.850           0.120 
22.05.2004  00:00:00           3.350           3.400           3.400           0.090 
23.05.2004  00:00:00           2.600           3.100           3.100           0.080 
24.05.2004  00:00:00           0.000           3.300           3.300           0.080 
25.05.2004  00:00:00           0.000           4.900           4.900           0.100 
26.05.2004  00:00:00           0.000           4.950           4.950           0.120 
27.05.2004  00:00:00           2.250           4.000           4.000           0.150 
28.05.2004  00:00:00           4.500           4.050           4.050           0.150 
29.05.2004  00:00:00           4.100           4.200           4.200           0.130 
30.05.2004  00:00:00           0.000           5.650           5.650           0.160 
31.05.2004  00:00:00           0.000           6.150           6.150           0.150 
01.06.2004  00:00:00           0.000           5.700           5.700           0.160 
02.06.2004  00:00:00           4.200           4.500           4.500           0.150 
03.06.2004  00:00:00           0.000           7.150           7.150           0.130 
04.06.2004  00:00:00           0.800           5.850           5.850           0.170 
05.06.2004  00:00:00           0.000           7.100           7.100           0.230 
06.06.2004  00:00:00           8.800           5.500           5.500           0.220 
07.06.2004  00:00:00           0.600           3.000           3.000           0.130 
08.06.2004  00:00:00           4.100           2.850           2.850           0.100 
09.06.2004  00:00:00           3.850           3.100           3.100           0.100 
10.06.2004  00:00:00          10.200           5.150           5.150           0.120 
11.06.2004  00:00:00           0.000           7.800           7.800           0.150 
12.06.2004  00:00:00           0.000           6.600           6.600           0.160 
13.06.2004  00:00:00           4.500           6.450           6.450           0.190 
14.06.2004  00:00:00           5.550           7.100           7.100           0.380 
15.06.2004  00:00:00           5.500           6.800           6.800           0.350 
16.06.2004  00:00:00           7.350           5.650           5.650           0.480 
17.06.2004  00:00:00           4.250           1.700           1.700           0.250 
18.06.2004  00:00:00           3.150           3.150           3.150           0.210 
19.06.2004  00:00:00           0.100           5.050           5.050           0.200 
20.06.2004  00:00:00           0.000           8.650           8.650           0.260 
21.06.2004  00:00:00           0.000          11.500          11.500           0.370 
22.06.2004  00:00:00           1.200          11.150          11.150           0.500 
23.06.2004  00:00:00           3.500          10.450          10.450           0.490 
24.06.2004  00:00:00           5.700           8.450           8.450           0.420 
25.06.2004  00:00:00           0.000          11.750          11.750           0.540 
26.06.2004  00:00:00           0.400          14.800          14.800           0.650 
27.06.2004  00:00:00           3.250          11.000          11.000           0.520 
28.06.2004  00:00:00           0.450           8.450           8.450           0.400 
29.06.2004  00:00:00           0.000           9.700           9.700           0.430 
30.06.2004  00:00:00           8.550           9.200           9.200           0.500 
01.07.2004  00:00:00           6.300          10.150          10.150           0.630 
02.07.2004  00:00:00           9.650          15.550          15.550           0.700 
03.07.2004  00:00:00           3.100          16.200          16.200           0.560 
04.07.2004  00:00:00           0.000          15.700          15.700           0.600 
05.07.2004  00:00:00          10.050          14.500          14.500           0.670 
06.07.2004  00:00:00           0.000          13.450          13.450           0.430 
07.07.2004  00:00:00           2.750          13.200          13.200           0.460 
08.07.2004  00:00:00           0.000          13.300          13.300           0.330 
09.07.2004  00:00:00           3.200          12.700          12.700           0.260 
10.07.2004  00:00:00           0.200          11.500          11.500           0.220 
11.07.2004  00:00:00           0.000          10.300          10.300           0.190 
12.07.2004  00:00:00           0.000           9.900           9.900           0.180 
13.07.2004  00:00:00           6.950          11.200          11.200           0.390 
14.07.2004  00:00:00          19.650           8.200           8.200           0.380 
15.07.2004  00:00:00           6.750          10.000          10.000           0.400 
16.07.2004  00:00:00           6.050          10.050          10.050           0.380 
17.07.2004  00:00:00           2.400          11.750          11.750           0.290 
18.07.2004  00:00:00           0.000          10.750          10.750           0.230 
19.07.2004  00:00:00           2.850          11.950          11.950           0.250 
20.07.2004  00:00:00          17.000          13.050          13.050           0.800 
21.07.2004  00:00:00          30.400           9.550           9.550           0.890 
22.07.2004  00:00:00           3.350           7.150           7.150           0.390 
23.07.2004  00:00:00           0.000          12.850          12.850           0.290 
24.07.2004  00:00:00           0.000          15.950          15.950           0.240 
25.07.2004  00:00:00           0.000          17.000          17.000           0.220 
26.07.2004  00:00:00           0.450          16.450          16.450           0.190 
27.07.2004  00:00:00           0.000          14.850          14.850           0.210 
28.07.2004  00:00:00          10.350          12.050          12.050           0.190 
29.07.2004  00:00:00           0.150          12.150          12.150           0.150 
30.07.2004  00:00:00           0.000          12.150          12.150           0.130 
31.07.2004  00:00:00           0.000          15.150          15.150           0.130 
01.08.2004  00:00:00           0.000          16.750          16.750           0.130 
02.08.2004  00:00:00           0.000          17.850          17.850           0.120 
03.08.2004  00:00:00           0.000          16.650          16.650           0.110 
04.08.2004  00:00:00           0.000          16.750          16.750           0.090 
05.08.2004  00:00:00           0.100          16.000          16.000           0.100 
06.08.2004  00:00:00           0.000          17.650          17.650           0.140 
07.08.2004  00:00:00          12.950          17.250          17.250           0.160 
08.08.2004  00:00:00           5.750          14.550          14.550           0.130 
09.08.2004  00:00:00           0.000          12.050          12.050           0.110 
10.08.2004  00:00:00           0.000          12.700          12.700           0.160 
11.08.2004  00:00:00          23.450          10.750          10.750           0.160 
12.08.2004  00:00:00           2.350           9.000           9.000           0.120 
13.08.2004  00:00:00           0.100           6.950           6.950           0.110 
14.08.2004  00:00:00           3.950           6.200           6.200           0.090 
15.08.2004  00:00:00           6.250           5.750           5.750           0.230 
16.08.2004  00:00:00           3.300           5.050           5.050           0.140 
17.08.2004  00:00:00           0.000           7.700           7.700           0.110 
18.08.2004  00:00:00           6.450           7.750           7.750           0.090 
19.08.2004  00:00:00           0.400           7.150           7.150           0.080 
20.08.2004  00:00:00           3.250           9.150           9.150           0.080 
21.08.2004  00:00:00           1.300          10.900          10.900           0.080 
22.08.2004  00:00:00           2.500          10.350          10.350           0.170 
23.08.2004  00:00:00           9.250           6.650           6.650           0.140 
24.08.2004  00:00:00           3.650           5.400           5.400           0.150 
25.08.2004  00:00:00           2.100           5.600           5.600           0.150 
26.08.2004  00:00:00           1.400           5.200           5.200           0.120 
27.08.2004  00:00:00           0.000           6.650           6.650           0.100 
28.08.2004  00:00:00           0.950           9.750           9.750           0.090 
29.08.2004  00:00:00           0.000          10.500          10.500           0.090 
30.08.2004  00:00:00           5.900          11.500          11.500           0.110 
31.08.2004  00:00:00           0.100           9.850           9.850           0.090 
01.09.2004  00:00:00           0.000           9.450           9.450           0.080 
02.09.2004  00:00:00           0.000          11.600          11.600           0.080 
03.09.2004  00:00:00           1.550          10.400          10.400           0.080 
04.09.2004  00:00:00           0.000           9.750           9.750           0.080 
05.09.2004  00:00:00           7.550          10.900          10.900           0.130 
06.09.2004  00:00:00          25.150           8.400           8.400           0.140 
07.09.2004  00:00:00           7.700           4.850           4.850           0.130 
08.09.2004  00:00:00           8.450           2.650           2.650           0.120 
09.09.2004  00:00:00          15.900           3.500           3.500           0.480 
10.09.2004  00:00:00          13.100           7.900           7.900           0.470 
11.09.2004  00:00:00          16.200           6.100           6.100           0.370 
12.09.2004  00:00:00           4.500           2.150           2.150           0.280 
13.09.2004  00:00:00           6.650           0.400           0.400           0.240 
14.09.2004  00:00:00           5.550           0.700           0.700           0.190 
15.09.2004  00:00:00           2.150          -0.900          -0.900           0.150 
16.09.2004  00:00:00           5.350           0.550           0.550           0.130 
17.09.2004  00:00:00           0.750          -0.100          -0.100           0.110 
18.09.2004  00:00:00           6.250           1.350           1.350           0.180 
19.09.2004  00:00:00           5.650           4.400           4.400           0.210 
20.09.2004  00:00:00           8.100           4.850           4.850           0.210 
21.09.2004  00:00:00           0.000           5.500           5.500           0.160 
22.09.2004  00:00:00           0.000           7.700           7.700           0.140 
23.09.2004  00:00:00           3.050           9.150           9.150           0.130 
24.09.2004  00:00:00           7.750           6.750           6.750           0.170 
25.09.2004  00:00:00           5.150           4.600           4.600           0.150 
26.09.2004  00:00:00           0.900           3.150           3.150           0.130 
27.09.2004  00:00:00           0.000           5.100           5.100           0.110 
28.09.2004  00:00:00           0.700           4.250           4.250           0.100 
29.09.2004  00:00:00           4.800           5.450           5.450           0.100 
30.09.2004  00:00:00           1.000           4.500           4.500           0.100 
01.10.2004  00:00:00           2.200           2.750           2.750           0.090 
02.10.2004  00:00:00           0.200          -1.600          -1.600           0.080 
03.10.2004  00:00:00           0.000           1.200           1.200           0.070 
04.10.2004  00:00:00           0.000          -0.050          -0.050           0.070 
05.10.2004  00:00:00           0.000           1.900           1.900           0.100 
06.10.2004  00:00:00           7.150           5.250           5.250           0.110 
07.10.2004  00:00:00           2.100           4.600           4.600           0.130 
08.10.2004  00:00:00           4.050          -0.200          -0.200           0.110 
09.10.2004  00:00:00           1.150          -1.050          -1.050           0.090 
10.10.2004  00:00:00           2.700          -4.450          -4.450           0.080 
11.10.2004  00:00:00           0.000          -2.700          -2.700           0.080 
12.10.2004  00:00:00           4.450           2.750           2.750           0.100 
13.10.2004  00:00:00           6.400           4.800           4.800           0.080 
14.10.2004  00:00:00           4.150           3.400           3.400           0.080 
15.10.2004  00:00:00           0.000           0.900           0.900           0.070 
16.10.2004  00:00:00           0.000          -0.600          -0.600           0.060 
17.10.2004  00:00:00           1.400          -3.400          -3.400           0.040 
18.10.2004  00:00:00           0.000          -3.450          -3.450           0.040 
19.10.2004  00:00:00           0.000          -3.900          -3.900           0.040 
20.10.2004  00:00:00           0.000          -3.550          -3.550           0.040 
21.10.2004  00:00:00           6.100          -2.350          -2.350           0.040 
22.10.2004  00:00:00           0.000          -1.650          -1.650           0.030 
23.10.2004  00:00:00           0.000           1.150           1.150           0.030 
24.10.2004  00:00:00           0.000          -0.950          -0.950           0.030 
25.10.2004  00:00:00           0.000          -1.650          -1.650           0.030 
26.10.2004  00:00:00           0.000          -0.700          -0.700           0.020 
27.10.2004  00:00:00           5.150           0.350           0.350           0.030 
28.10.2004  00:00:00           7.650          -0.500          -0.500           0.030 
29.10.2004  00:00:00           8.800          -2.850          -2.850           0.020 
30.10.2004  00:00:00           0.000          -5.400          -5.400           0.030 
31.10.2004  00:00:00           4.650          -3.950          -3.950           0.040 
01.11.2004  00:00:00          12.400           0.900           0.900           0.030 
02.11.2004  00:00:00           6.650           0.750           0.750           0.040 
03.11.2004  00:00:00          22.800           3.850           3.850           0.400 
04.11.2004  00:00:00           5.000           3.450           3.450           0.170 
05.11.2004  00:00:00           1.250           1.700           1.700           0.110 
06.11.2004  00:00:00           0.000           1.600           1.600           0.100 
07.11.2004  00:00:00           0.000           0.100           0.100           0.100 
