date        time     P_O_Kjemavatn_1 T_Kjemavatn_112 T_Kjemavatn_112     Q_Kjemavatn 
dd.mm.yyyy  hh:mm:ss              mm             grC             grC            m3/s 
01.01.2006  00:00:00           0.000         -10.340         -10.340           0.320 
02.01.2006  00:00:00           0.000          -9.950          -9.950           0.310 
03.01.2006  00:00:00           0.000          -9.140          -9.140           0.300 
04.01.2006  00:00:00           0.000          -6.150          -6.150           0.280 
05.01.2006  00:00:00           0.000          -3.560          -3.560           0.280 
06.01.2006  00:00:00           0.000          -6.160          -6.160           0.270 
07.01.2006  00:00:00           0.000          -7.030          -7.030           0.260 
08.01.2006  00:00:00           0.000         -10.300         -10.300           0.260 
09.01.2006  00:00:00           0.000          -5.640          -5.640           0.250 
10.01.2006  00:00:00           0.450          -8.280          -8.280           0.240 
11.01.2006  00:00:00           3.520          -4.150          -4.150           0.240 
12.01.2006  00:00:00          20.870           0.460           0.460           1.060 
13.01.2006  00:00:00           4.870           0.050           0.050           0.920 
14.01.2006  00:00:00           0.000           0.690           0.690           0.310 
15.01.2006  00:00:00           0.000          -1.720          -1.720           0.300 
16.01.2006  00:00:00           0.350          -2.300          -2.300           0.290 
17.01.2006  00:00:00           0.000          -1.930          -1.930           0.280 
18.01.2006  00:00:00           0.000          -4.360          -4.360           0.280 
19.01.2006  00:00:00           0.000         -13.380         -13.380           0.300 
20.01.2006  00:00:00           0.610         -16.290         -16.290           0.250 
21.01.2006  00:00:00           0.580         -15.690         -15.690           0.260 
22.01.2006  00:00:00           3.590         -10.610         -10.610           0.230 
23.01.2006  00:00:00           2.620          -4.090          -4.090           0.250 
24.01.2006  00:00:00           9.620          -0.040          -0.040           0.270 
25.01.2006  00:00:00           6.680          -5.620          -5.620           0.270 
26.01.2006  00:00:00           0.000          -2.770          -2.770           0.260 
27.01.2006  00:00:00           3.080           2.020           2.020           0.250 
28.01.2006  00:00:00           4.760          -5.280          -5.280           0.250 
29.01.2006  00:00:00           8.620           0.280           0.280           0.270 
30.01.2006  00:00:00          13.390          -0.650          -0.650           0.280 
31.01.2006  00:00:00           7.100          -2.490          -2.490           0.280 
01.02.2006  00:00:00           4.080          -2.390          -2.390           0.270 
02.02.2006  00:00:00           5.160          -2.340          -2.340           0.270 
03.02.2006  00:00:00           1.370          -7.880          -7.880           0.260 
04.02.2006  00:00:00           0.000         -13.470         -13.470           0.250 
05.02.2006  00:00:00           0.000         -15.040         -15.040           0.240 
06.02.2006  00:00:00           0.000         -13.230         -13.230           0.250 
07.02.2006  00:00:00           2.600         -12.390         -12.390           0.240 
08.02.2006  00:00:00           1.170          -6.440          -6.440           0.230 
09.02.2006  00:00:00           1.040          -6.460          -6.460           0.220 
10.02.2006  00:00:00           5.820          -8.150          -8.150           0.230 
11.02.2006  00:00:00           0.000          -5.630          -5.630           0.220 
12.02.2006  00:00:00           0.000          -4.350          -4.350           0.210 
13.02.2006  00:00:00           2.760          -2.570          -2.570           0.210 
14.02.2006  00:00:00           0.000          -7.030          -7.030           0.200 
15.02.2006  00:00:00           0.000          -9.390          -9.390           0.200 
16.02.2006  00:00:00           0.000          -5.050          -5.050           0.240 
17.02.2006  00:00:00           0.000          -4.150          -4.150           0.210 
18.02.2006  00:00:00           0.000          -9.710          -9.710           0.190 
19.02.2006  00:00:00           0.000         -13.350         -13.350           0.180 
20.02.2006  00:00:00           0.000         -14.370         -14.370           0.170 
21.02.2006  00:00:00           1.740         -10.350         -10.350           0.170 
22.02.2006  00:00:00           4.330          -4.460          -4.460           0.170 
23.02.2006  00:00:00           1.140           1.270           1.270           0.170 
24.02.2006  00:00:00           1.410           0.100           0.100           0.170 
25.02.2006  00:00:00           8.770          -1.940          -1.940           0.190 
26.02.2006  00:00:00           5.260          -8.220          -8.220           0.200 
27.02.2006  00:00:00           2.290         -12.560         -12.560           0.200 
28.02.2006  00:00:00           0.000         -17.290         -17.290           0.190 
01.03.2006  00:00:00           0.000         -19.290         -19.290           0.190 
02.03.2006  00:00:00           0.000         -20.170         -20.170           0.180 
03.03.2006  00:00:00           0.000         -20.050         -20.050           0.180 
04.03.2006  00:00:00           0.000         -20.830         -20.830           0.170 
05.03.2006  00:00:00           0.000         -16.240         -16.240           0.170 
06.03.2006  00:00:00           0.000         -21.400         -21.400           0.160 
07.03.2006  00:00:00           0.000         -14.990         -14.990           0.160 
08.03.2006  00:00:00           2.580         -12.420         -12.420           0.160 
09.03.2006  00:00:00           0.000         -16.100         -16.100           0.160 
10.03.2006  00:00:00           0.000         -17.960         -17.960           0.150 
11.03.2006  00:00:00           0.000         -16.510         -16.510           0.150 
12.03.2006  00:00:00           0.000         -13.790         -13.790           0.150 
13.03.2006  00:00:00           0.000          -7.730          -7.730           0.140 
14.03.2006  00:00:00           0.000          -2.690          -2.690           0.130 
15.03.2006  00:00:00           0.000          -6.630          -6.630           0.130 
16.03.2006  00:00:00           0.000          -7.350          -7.350           0.130 
17.03.2006  00:00:00           0.000          -0.900          -0.900           0.130 
18.03.2006  00:00:00           8.710          -0.880          -0.880           0.140 
19.03.2006  00:00:00           6.140          -4.370          -4.370           0.150 
20.03.2006  00:00:00           1.060         -11.260         -11.260           0.140 
21.03.2006  00:00:00           0.000         -15.050         -15.050           0.130 
22.03.2006  00:00:00           0.000         -15.480         -15.480           0.130 
23.03.2006  00:00:00           0.000         -16.700         -16.700           0.130 
24.03.2006  00:00:00           2.180         -13.950         -13.950           0.140 
25.03.2006  00:00:00           3.010          -5.790          -5.790           0.180 
26.03.2006  00:00:00           4.310          -7.810          -7.810           0.140 
27.03.2006  00:00:00           0.000         -10.630         -10.630           0.150 
28.03.2006  00:00:00           0.000          -5.730          -5.730           0.220 
29.03.2006  00:00:00           0.000          -8.100          -8.100           0.170 
30.03.2006  00:00:00           0.000          -9.590          -9.590           0.140 
31.03.2006  00:00:00           0.000          -9.730          -9.730           0.130 
01.04.2006  00:00:00           0.000          -9.350          -9.350           0.120 
02.04.2006  00:00:00           0.000         -11.950         -11.950           0.120 
03.04.2006  00:00:00           0.000         -11.300         -11.300           0.120 
04.04.2006  00:00:00           0.000          -9.190          -9.190           0.120 
05.04.2006  00:00:00           0.190         -10.480         -10.480           0.120 
06.04.2006  00:00:00           0.000          -7.480          -7.480           0.120 
07.04.2006  00:00:00           0.000          -3.200          -3.200           0.120 
08.04.2006  00:00:00           0.420          -2.880          -2.880           0.110 
09.04.2006  00:00:00           0.750          -3.270          -3.270           0.110 
10.04.2006  00:00:00           0.000          -4.980          -4.980           0.110 
11.04.2006  00:00:00           0.000          -6.050          -6.050           0.110 
12.04.2006  00:00:00           0.000          -5.470          -5.470           0.110 
13.04.2006  00:00:00           0.000          -1.420          -1.420           0.110 
14.04.2006  00:00:00           0.000           1.220           1.220           0.130 
15.04.2006  00:00:00           0.000           1.160           1.160           0.100 
16.04.2006  00:00:00           0.000           0.110           0.110           0.100 
17.04.2006  00:00:00           0.000          -0.620          -0.620           0.100 
18.04.2006  00:00:00           2.400          -1.800          -1.800           0.100 
19.04.2006  00:00:00           6.190           0.410           0.410           0.100 
20.04.2006  00:00:00           1.300          -0.990          -0.990           0.100 
21.04.2006  00:00:00           1.000          -2.990          -2.990           0.100 
22.04.2006  00:00:00           0.000          -2.220          -2.220           0.090 
23.04.2006  00:00:00           0.000          -1.450          -1.450           0.090 
24.04.2006  00:00:00           0.290           3.760           3.760           0.100 
25.04.2006  00:00:00           0.000           3.790           3.790           0.100 
26.04.2006  00:00:00           0.000           6.200           6.200           0.100 
27.04.2006  00:00:00           4.990           3.670           3.670           0.120 
28.04.2006  00:00:00           0.000           3.200           3.200           0.130 
29.04.2006  00:00:00           0.190           1.880           1.880           0.150 
30.04.2006  00:00:00           0.000           3.070           3.070           0.180 
01.05.2006  00:00:00           0.000           6.670           6.670           0.200 
02.05.2006  00:00:00           0.000           4.340           4.340           0.240 
03.05.2006  00:00:00           0.000           7.160           7.160           0.290 
04.05.2006  00:00:00           0.000           4.960           4.960           0.370 
05.05.2006  00:00:00           0.000           5.780           5.780           0.490 
06.05.2006  00:00:00           0.000           7.460           7.460           0.740 
07.05.2006  00:00:00           0.000           5.950           5.950           1.210 
08.05.2006  00:00:00           0.000           5.900           5.900           1.750 
09.05.2006  00:00:00           0.000           4.760           4.760           2.100 
10.05.2006  00:00:00           0.000           4.670           4.670           2.270 
11.05.2006  00:00:00           0.000           3.210           3.210           2.680 
12.05.2006  00:00:00           0.820           3.540           3.540           3.260 
13.05.2006  00:00:00           2.970           3.080           3.080           3.190 
14.05.2006  00:00:00           5.940           0.380           0.380           2.960 
15.05.2006  00:00:00           2.590           0.360           0.360           2.440 
16.05.2006  00:00:00           2.790          -0.730          -0.730           2.060 
17.05.2006  00:00:00           1.170           0.580           0.580           1.770 
18.05.2006  00:00:00           0.060          -0.090          -0.090           1.500 
19.05.2006  00:00:00           0.000           3.630           3.630           1.320 
20.05.2006  00:00:00           0.000           5.400           5.400           1.220 
21.05.2006  00:00:00           0.000           7.700           7.700           1.370 
22.05.2006  00:00:00           0.000           8.310           8.310           1.880 
23.05.2006  00:00:00           0.940           6.880           6.880           2.880 
24.05.2006  00:00:00           1.590           8.940           8.940           4.430 
25.05.2006  00:00:00           1.320           5.920           5.920           5.040 
26.05.2006  00:00:00           2.590           3.510           3.510           5.330 
27.05.2006  00:00:00          14.920           4.850           4.850           5.120 
28.05.2006  00:00:00           0.000           4.140           4.140           4.780 
29.05.2006  00:00:00           0.000           4.550           4.550           4.430 
30.05.2006  00:00:00           0.000           7.510           7.510           4.610 
31.05.2006  00:00:00           0.000           4.530           4.530           4.550 
01.06.2006  00:00:00           0.000           2.640           2.640           3.820 
02.06.2006  00:00:00           0.000           5.670           5.670           3.170 
03.06.2006  00:00:00           0.960           4.270           4.270           2.830 
04.06.2006  00:00:00           3.320           3.110           3.110           2.540 
05.06.2006  00:00:00           0.230           4.050           4.050           2.420 
06.06.2006  00:00:00           0.000           4.380           4.380           2.160 
07.06.2006  00:00:00           0.300           3.740           3.740           2.010 
08.06.2006  00:00:00           0.000           3.520           3.520           2.080 
09.06.2006  00:00:00           3.380           3.780           3.780           2.580 
10.06.2006  00:00:00           0.000           4.900           4.900           3.210 
11.06.2006  00:00:00           0.000           6.260           6.260           3.370 
12.06.2006  00:00:00           0.000           8.500           8.500           5.200 
13.06.2006  00:00:00           0.000          12.980          12.980           7.590 
14.06.2006  00:00:00           0.000           9.180           9.180           8.030 
15.06.2006  00:00:00           0.000           4.710           4.710           5.790 
16.06.2006  00:00:00           0.000           4.100           4.100           4.230 
17.06.2006  00:00:00           0.000           4.840           4.840           4.290 
18.06.2006  00:00:00           6.240           5.610           5.610           4.200 
19.06.2006  00:00:00           5.430           6.540           6.540           5.230 
20.06.2006  00:00:00           2.400           7.720           7.720           5.550 
21.06.2006  00:00:00           6.610           9.270           9.270           5.480 
22.06.2006  00:00:00           1.140           9.560           9.560           5.080 
23.06.2006  00:00:00           1.830           9.610           9.610           4.790 
24.06.2006  00:00:00           2.340           6.370           6.370           4.190 
25.06.2006  00:00:00           0.000           5.960           5.960           3.370 
26.06.2006  00:00:00           1.990           4.010           4.010           3.090 
27.06.2006  00:00:00           2.950           4.840           4.840           2.690 
28.06.2006  00:00:00           0.000           6.500           6.500           2.310 
29.06.2006  00:00:00           0.000           6.750           6.750           2.030 
30.06.2006  00:00:00           0.000           6.650           6.650           1.890 
01.07.2006  00:00:00           0.000          12.000          12.000           1.860 
02.07.2006  00:00:00           0.000           9.220           9.220           1.940 
03.07.2006  00:00:00           0.000          12.440          12.440           2.060 
04.07.2006  00:00:00           2.660          10.020          10.020           2.190 
05.07.2006  00:00:00           1.050           7.430           7.430           2.070 
06.07.2006  00:00:00           0.000           7.830           7.830           1.860 
07.07.2006  00:00:00           1.450          12.170          12.170           1.840 
08.07.2006  00:00:00           0.000          14.590          14.590           2.020 
09.07.2006  00:00:00          12.040          10.910          10.910           2.200 
10.07.2006  00:00:00           0.000           9.600           9.600           2.070 
11.07.2006  00:00:00           6.290           9.330           9.330           2.090 
12.07.2006  00:00:00           2.570           9.360           9.360           1.990 
13.07.2006  00:00:00           5.300           8.100           8.100           2.240 
14.07.2006  00:00:00           8.490           7.060           7.060           2.830 
15.07.2006  00:00:00           2.190           5.190           5.190           2.780 
16.07.2006  00:00:00           3.180           5.370           5.370           2.460 
17.07.2006  00:00:00           0.990           8.040           8.040           2.180 
18.07.2006  00:00:00           0.000           7.450           7.450           2.040 
19.07.2006  00:00:00           3.270           5.080           5.080           2.000 
20.07.2006  00:00:00           0.330           7.190           7.190           1.890 
21.07.2006  00:00:00           0.000           7.190           7.190           1.690 
22.07.2006  00:00:00           0.000          10.060          10.060           1.490 
23.07.2006  00:00:00           0.000           9.120           9.120           1.350 
24.07.2006  00:00:00           0.000           9.280           9.280           1.240 
25.07.2006  00:00:00           0.000           7.860           7.860           1.140 
26.07.2006  00:00:00           0.100           6.150           6.150           1.060 
27.07.2006  00:00:00           0.000           7.030           7.030           1.000 
28.07.2006  00:00:00           0.330          11.740          11.740           0.970 
29.07.2006  00:00:00           4.290          11.980          11.980           0.990 
30.07.2006  00:00:00           0.000          13.190          13.190           0.980 
31.07.2006  00:00:00           0.000          14.930          14.930           0.940 
01.08.2006  00:00:00           0.000          14.450          14.450           0.900 
02.08.2006  00:00:00           0.790          15.750          15.750           0.870 
03.08.2006  00:00:00           0.000          15.860          15.860           0.840 
04.08.2006  00:00:00           0.000          14.580          14.580           0.800 
05.08.2006  00:00:00           0.000          13.640          13.640           0.780 
06.08.2006  00:00:00           1.280          12.650          12.650           0.760 
07.08.2006  00:00:00           2.140          11.710          11.710           0.760 
08.08.2006  00:00:00           2.950           9.150           9.150           0.760 
09.08.2006  00:00:00           0.000           7.080           7.080           0.740 
10.08.2006  00:00:00           0.000          12.940          12.940           0.720 
11.08.2006  00:00:00           1.160          11.180          11.180           0.700 
12.08.2006  00:00:00           0.000          13.400          13.400           0.710 
13.08.2006  00:00:00           3.690          11.780          11.780           0.770 
14.08.2006  00:00:00           0.000          13.240          13.240           0.760 
15.08.2006  00:00:00           0.000          13.850          13.850           0.740 
16.08.2006  00:00:00           0.000          11.960          11.960           0.700 
17.08.2006  00:00:00           0.000          14.470          14.470           0.680 
18.08.2006  00:00:00           8.420          13.520          13.520           0.740 
19.08.2006  00:00:00           0.000           8.630           8.630           0.740 
20.08.2006  00:00:00           0.000           6.210           6.210           0.720 
21.08.2006  00:00:00           0.000           8.810           8.810           0.690 
22.08.2006  00:00:00           0.000           6.120           6.120           0.670 
23.08.2006  00:00:00           0.000          10.610          10.610           0.640 
24.08.2006  00:00:00           0.000          10.080          10.080           0.610 
25.08.2006  00:00:00           0.000          10.110          10.110           0.590 
26.08.2006  00:00:00           0.000           8.320           8.320           0.560 
27.08.2006  00:00:00           0.000          12.230          12.230           0.540 
28.08.2006  00:00:00           0.000          11.170          11.170           0.520 
29.08.2006  00:00:00           0.000          11.960          11.960           0.510 
30.08.2006  00:00:00           1.840          11.640          11.640           0.510 
31.08.2006  00:00:00           0.000           8.860           8.860           0.490 
01.09.2006  00:00:00           0.000          12.050          12.050           0.480 
02.09.2006  00:00:00           4.550           8.710           8.710           0.550 
03.09.2006  00:00:00           0.220           9.480           9.480           0.560 
04.09.2006  00:00:00           5.480          12.590          12.590           0.700 
05.09.2006  00:00:00           4.200           9.640           9.640           1.050 
06.09.2006  00:00:00           4.150           9.320           9.320           1.100 
07.09.2006  00:00:00           0.980           8.630           8.630           1.080 
08.09.2006  00:00:00           3.020           5.910           5.910           1.070 
09.09.2006  00:00:00           3.200           5.540           5.540           1.060 
10.09.2006  00:00:00           4.680           9.140           9.140           1.060 
11.09.2006  00:00:00           7.510           7.560           7.560           1.080 
12.09.2006  00:00:00          18.070           9.420           9.420           1.170 
13.09.2006  00:00:00          22.230           8.780           8.780           1.300 
14.09.2006  00:00:00           4.090           5.840           5.840           1.440 
15.09.2006  00:00:00           0.000           4.540           4.540           1.390 
16.09.2006  00:00:00           0.000           6.610           6.610           1.260 
17.09.2006  00:00:00           0.000           9.210           9.210           1.170 
18.09.2006  00:00:00           0.000           9.710           9.710           1.080 
19.09.2006  00:00:00           1.330           9.550           9.550           0.990 
20.09.2006  00:00:00           9.170           7.400           7.400           1.100 
21.09.2006  00:00:00           1.150           2.650           2.650           1.270 
22.09.2006  00:00:00          11.590           4.720           4.720           1.400 
23.09.2006  00:00:00           0.970           6.070           6.070           1.370 
24.09.2006  00:00:00           7.630          10.050          10.050           1.390 
25.09.2006  00:00:00           1.250          -1.620          -1.620           1.440 
26.09.2006  00:00:00           0.000          -1.690          -1.690           1.340 
27.09.2006  00:00:00           0.000           0.860           0.860           1.240 
28.09.2006  00:00:00           5.560           3.470           3.470           1.210 
29.09.2006  00:00:00           0.550           3.150           3.150           1.200 
30.09.2006  00:00:00           1.720           0.300           0.300           1.120 
01.10.2006  00:00:00           2.050           0.960           0.960           1.120 
02.10.2006  00:00:00           2.990           5.350           5.350           1.120 
03.10.2006  00:00:00           2.000           5.450           5.450           1.150 
04.10.2006  00:00:00           1.390           2.140           2.140           1.160 
05.10.2006  00:00:00           0.000           2.510           2.510           1.100 
06.10.2006  00:00:00           0.000           2.510           2.510           1.020 
07.10.2006  00:00:00           0.000           4.440           4.440           0.970 
08.10.2006  00:00:00           9.930           5.660           5.660           1.210 
09.10.2006  00:00:00           0.000          -0.240          -0.240           1.360 
10.10.2006  00:00:00           9.090           1.440           1.440           1.300 
11.10.2006  00:00:00           0.590           0.740           0.740           1.230 
12.10.2006  00:00:00           0.000           1.190           1.190           1.170 
13.10.2006  00:00:00           0.000          -2.550          -2.550           1.100 
14.10.2006  00:00:00          10.420          -0.440          -0.440           1.310 
15.10.2006  00:00:00           0.000           5.720           5.720           1.450 
16.10.2006  00:00:00           8.950           5.590           5.590           1.810 
17.10.2006  00:00:00          11.880           3.580           3.580           2.250 
18.10.2006  00:00:00           7.820          -1.740          -1.740           2.100 
19.10.2006  00:00:00           0.000          -3.480          -3.480           1.900 
20.10.2006  00:00:00           0.290          -2.260          -2.260           1.590 
21.10.2006  00:00:00           0.000          -4.220          -4.220           1.350 
22.10.2006  00:00:00           0.000          -6.830          -6.830           1.180 
23.10.2006  00:00:00           0.000          -8.640          -8.640           1.040 
24.10.2006  00:00:00           0.000          -7.480          -7.480           0.940 
25.10.2006  00:00:00           0.000          -7.050          -7.050           0.860 
26.10.2006  00:00:00           2.790          -5.440          -5.440           0.810 
27.10.2006  00:00:00           0.000          -6.270          -6.270           0.770 
28.10.2006  00:00:00           3.480          -5.540          -5.540           0.750 
29.10.2006  00:00:00           4.130         -11.020         -11.020           0.720 
30.10.2006  00:00:00           8.170          -8.220          -8.220           0.710 
31.10.2006  00:00:00           3.470         -11.020         -11.020           0.700 
01.11.2006  00:00:00           0.000         -16.260         -16.260           0.670 
02.11.2006  00:00:00           3.150         -13.890         -13.890           0.660 
03.11.2006  00:00:00           2.800         -10.800         -10.800           0.640 
04.11.2006  00:00:00           6.390          -7.280          -7.280           0.640 
05.11.2006  00:00:00           0.000          -5.260          -5.260           0.630 
06.11.2006  00:00:00           1.090          -5.000          -5.000           0.600 
07.11.2006  00:00:00           6.970          -4.480          -4.480           0.590 
08.11.2006  00:00:00          11.430          -4.760          -4.760           0.590 
09.11.2006  00:00:00           8.480          -4.110          -4.110           0.600 
10.11.2006  00:00:00           9.930          -3.960          -3.960           0.610 
11.11.2006  00:00:00           0.790          -5.170          -5.170           0.590 
12.11.2006  00:00:00           0.980          -1.400          -1.400           0.580 
13.11.2006  00:00:00           1.370          -7.730          -7.730           0.570 
14.11.2006  00:00:00           0.000          -2.680          -2.680           0.540 
15.11.2006  00:00:00           0.000           0.950           0.950           0.520 
16.11.2006  00:00:00           0.000          -0.980          -0.980           0.500 
17.11.2006  00:00:00           1.720          -1.880          -1.880           0.490 
18.11.2006  00:00:00           0.000          -1.480          -1.480           0.490 
19.11.2006  00:00:00           0.000           2.250           2.250           0.470 
20.11.2006  00:00:00           0.000          -3.340          -3.340           0.460 
21.11.2006  00:00:00           0.000          -2.390          -2.390           0.450 
22.11.2006  00:00:00           0.940           1.970           1.970           0.440 
23.11.2006  00:00:00           0.000           2.350           2.350           0.430 
24.11.2006  00:00:00           0.000           1.270           1.270           0.410 
25.11.2006  00:00:00           0.000           0.260           0.260           0.400 
26.11.2006  00:00:00           4.940           1.120           1.120           0.400 
27.11.2006  00:00:00          20.680           4.660           4.660           0.500 
28.11.2006  00:00:00          10.360           0.800           0.800           0.560 
29.11.2006  00:00:00           2.740          -3.660          -3.660           0.570 
30.11.2006  00:00:00           5.050          -0.580          -0.580           0.560 
01.12.2006  00:00:00           0.000           0.500           0.500           0.550 
02.12.2006  00:00:00          11.150           2.310           2.310           0.570 
03.12.2006  00:00:00           7.870          -3.090          -3.090           0.570 
04.12.2006  00:00:00           0.390          -0.640          -0.640           0.550 
05.12.2006  00:00:00           0.000           1.250           1.250           0.520 
06.12.2006  00:00:00           0.000           1.740           1.740           0.510 
07.12.2006  00:00:00           0.000          -0.620          -0.620           0.490 
08.12.2006  00:00:00           0.110          -1.920          -1.920           0.460 
09.12.2006  00:00:00           0.630           0.870           0.870           0.440 
10.12.2006  00:00:00           1.250          -0.200          -0.200           0.420 
11.12.2006  00:00:00           1.900          -1.880          -1.880           0.400 
12.12.2006  00:00:00           2.830           0.300           0.300           0.390 
13.12.2006  00:00:00           5.010           0.230           0.230           0.400 
14.12.2006  00:00:00           2.250          -5.790          -5.790           0.400 
15.12.2006  00:00:00           1.310          -6.700          -6.700           0.400 
16.12.2006  00:00:00           4.040          -3.910          -3.910           0.400 
17.12.2006  00:00:00          10.320          -7.810          -7.810           0.400 
18.12.2006  00:00:00          11.950         -10.520         -10.520           0.410 
19.12.2006  00:00:00           4.240         -10.620         -10.620           0.410 
20.12.2006  00:00:00           7.690          -5.940          -5.940           0.440 
21.12.2006  00:00:00          22.060           1.740           1.740           0.580 
22.12.2006  00:00:00          12.660           2.750           2.750           0.790 
23.12.2006  00:00:00          14.270          -1.460          -1.460           0.920 
24.12.2006  00:00:00          14.370           0.670           0.670           1.010 
25.12.2006  00:00:00           2.450          -3.540          -3.540           0.930 
26.12.2006  00:00:00           7.170          -0.080          -0.080           0.910 
27.12.2006  00:00:00          12.350          -0.130          -0.130           1.000 
28.12.2006  00:00:00           7.960          -3.660          -3.660           0.990 
29.12.2006  00:00:00           0.000          -9.110          -9.110           0.870 
30.12.2006  00:00:00           7.840          -4.990          -4.990           0.780 
31.12.2006  00:00:00           4.070          -3.610          -3.610           0.730 
01.01.2007  00:00:00           0.000          -3.140          -3.140           0.670 
02.01.2007  00:00:00           0.000          -3.660          -3.660           0.620 
03.01.2007  00:00:00          15.240          -4.200          -4.200           0.610 
04.01.2007  00:00:00           0.710          -7.920          -7.920           0.580 
05.01.2007  00:00:00           2.980          -6.560          -6.560           0.570 
06.01.2007  00:00:00           0.000          -8.770          -8.770           0.530 
07.01.2007  00:00:00           0.000          -7.810          -7.810           0.490 
08.01.2007  00:00:00           2.350          -3.090          -3.090           0.470 
09.01.2007  00:00:00           0.000          -6.580          -6.580           0.460 
10.01.2007  00:00:00           6.450          -4.690          -4.690           0.470 
11.01.2007  00:00:00           6.790          -8.120          -8.120           0.460 
12.01.2007  00:00:00           0.000          -9.900          -9.900           0.440 
13.01.2007  00:00:00           0.800          -6.680          -6.680           0.420 
14.01.2007  00:00:00           4.350          -8.520          -8.520           0.400 
15.01.2007  00:00:00           0.000          -8.290          -8.290           0.380 
16.01.2007  00:00:00           7.720          -4.380          -4.380           0.390 
17.01.2007  00:00:00           8.130          -7.510          -7.510           0.370 
18.01.2007  00:00:00           0.000          -7.190          -7.190           0.380 
19.01.2007  00:00:00           1.540         -14.710         -14.710           0.370 
20.01.2007  00:00:00           2.280         -12.760         -12.760           0.360 
21.01.2007  00:00:00           2.920         -10.170         -10.170           0.350 
22.01.2007  00:00:00           2.450         -19.820         -19.820           0.350 
23.01.2007  00:00:00           1.970         -18.220         -18.220           0.330 
24.01.2007  00:00:00           0.000         -18.820         -18.820           0.320 
25.01.2007  00:00:00           1.080         -11.680         -11.680           0.340 
26.01.2007  00:00:00          12.070          -3.190          -3.190           0.610 
27.01.2007  00:00:00          12.810          -9.450          -9.450           0.400 
28.01.2007  00:00:00           0.000         -16.960         -16.960           0.380 
29.01.2007  00:00:00           5.750         -15.140         -15.140           0.390 
30.01.2007  00:00:00           4.770         -13.920         -13.920           0.390 
31.01.2007  00:00:00           3.280         -14.250         -14.250           0.380 
01.02.2007  00:00:00           1.180          -9.220          -9.220           0.370 
02.02.2007  00:00:00           4.640          -5.250          -5.250           0.370 
03.02.2007  00:00:00          10.300           0.960           0.960           0.400 
04.02.2007  00:00:00          11.550          -1.010          -1.010           0.370 
05.02.2007  00:00:00           0.000          -5.540          -5.540           0.370 
06.02.2007  00:00:00           0.000         -17.310         -17.310           0.350 
07.02.2007  00:00:00           0.000         -22.930         -22.930           0.330 
08.02.2007  00:00:00           0.000         -21.100         -21.100           0.310 
09.02.2007  00:00:00           0.000         -18.810         -18.810           0.290 
10.02.2007  00:00:00           3.980         -10.090         -10.090           0.280 
11.02.2007  00:00:00           2.080         -13.710         -13.710           0.280 
12.02.2007  00:00:00           0.820         -10.880         -10.880           0.270 
13.02.2007  00:00:00           0.000         -15.920         -15.920           0.260 
14.02.2007  00:00:00           0.000         -17.990         -17.990           0.250 
15.02.2007  00:00:00           0.000         -14.890         -14.890           0.250 
16.02.2007  00:00:00           0.000         -15.830         -15.830           0.240 
17.02.2007  00:00:00           0.000         -10.500         -10.500           0.230 
18.02.2007  00:00:00           5.150          -8.680          -8.680           0.230 
19.02.2007  00:00:00           6.140          -8.940          -8.940           0.250 
20.02.2007  00:00:00           0.000         -19.410         -19.410           0.240 
21.02.2007  00:00:00           0.000         -18.620         -18.620           0.420 
22.02.2007  00:00:00           0.000         -14.810         -14.810           0.260 
23.02.2007  00:00:00           0.000         -16.520         -16.520           0.210 
24.02.2007  00:00:00           0.000         -13.080         -13.080           0.210 
25.02.2007  00:00:00           1.240          -8.760          -8.760           0.200 
26.02.2007  00:00:00           0.000         -10.890         -10.890           0.200 
27.02.2007  00:00:00           0.000         -12.230         -12.230           0.200 
28.02.2007  00:00:00           0.000          -4.520          -4.520           0.190 
01.03.2007  00:00:00           0.000          -5.710          -5.710           0.180 
02.03.2007  00:00:00           2.050          -3.810          -3.810           0.200 
03.03.2007  00:00:00           3.120          -2.810          -2.810           0.200 
04.03.2007  00:00:00           0.000          -5.960          -5.960           0.190 
05.03.2007  00:00:00           0.000          -5.060          -5.060           0.180 
06.03.2007  00:00:00           0.000          -4.900          -4.900           0.170 
07.03.2007  00:00:00           0.000          -4.900          -4.900           0.160 
08.03.2007  00:00:00           0.000          -2.490          -2.490           0.170 
09.03.2007  00:00:00           0.000          -4.020          -4.020           0.170 
10.03.2007  00:00:00           0.950          -3.700          -3.700           0.170 
11.03.2007  00:00:00           0.000          -4.790          -4.790           0.160 
12.03.2007  00:00:00           2.980          -3.280          -3.280           0.160 
13.03.2007  00:00:00           4.520           0.350           0.350           0.170 
14.03.2007  00:00:00           7.760           0.040           0.040           0.170 
15.03.2007  00:00:00           4.320           0.700           0.700           0.180 
16.03.2007  00:00:00           4.940          -0.050          -0.050           0.180 
17.03.2007  00:00:00           2.590          -1.530          -1.530           0.180 
18.03.2007  00:00:00           2.120          -4.790          -4.790           0.180 
19.03.2007  00:00:00           0.000          -9.040          -9.040           0.180 
20.03.2007  00:00:00           0.000          -9.160          -9.160           0.170 
21.03.2007  00:00:00           2.390          -7.740          -7.740           0.170 
22.03.2007  00:00:00           0.000          -3.510          -3.510           0.160 
23.03.2007  00:00:00           0.000          -2.360          -2.360           0.160 
